,Mean,SD
NssssB,0.0,0.0
NsCH3,1.9737329916680314e-05,2.2033254744816977e-05
NdCH2,0.0,0.0
NssCH2,2.3410875943374876e-06,4.745000008939292e-05
NtCH,2.280915013699314e-05,5.6088498726853615e-06
NdsCH,0.0,0.0
NaaCH,0.00019998435841195317,4.5918796300005274e-05
NsssCH,5.130936989627965e-06,4.58084070028463e-06
NddC,0.0,0.0
NtsC,-3.310290244507019e-06,1.6984534141450958e-06
NdssC,-2.819404726606134e-06,1.6934130412695485e-05
NaasC,4.7114960997374224e-05,2.341043281227156e-05
NaaaC,-4.1322746389571565e-06,1.8490085972223428e-05
NssssC,-4.0514208522468563e-07,2.2713087345700365e-06
NsNH3,0.0,0.0
NsNH2,3.898737086619475e-05,2.3110800196047628e-05
NssNH2,0.0,0.0
NdNH,0.0,0.0
NssNH,0.00021557541167319672,0.00016655177598172408
NaaNH,0.0,0.0
NtN,2.3837605648835414e-06,3.296784548904057e-06
NsssNH,0.0,0.0
NdsN,3.3455655467862223e-06,2.577120870717558e-06
NaaN,2.2826912524021025e-05,1.0639806499919729e-05
NsssN,5.565622764169831e-06,2.3218564766868275e-05
NddsN,0.0,0.0
NaasN,1.038642273920587e-06,3.725642607624157e-06
NssssN,0.0,0.0
NsOH,1.0822299741031217e-06,2.201625068937748e-06
NdO,4.980935876752745e-07,3.745617568984695e-06
NssO,1.0517728026293582e-07,1.1943497088004322e-06
NaaO,0.0,0.0
NsF,-2.86725340391536e-06,6.294644198144939e-06
NsSiH3,0.0,0.0
NssSiH2,0.0,0.0
NsssSiH,0.0,0.0
NssssSi,0.0,0.0
NsPH2,0.0,0.0
NssPH,0.0,0.0
NsssP,0.0,0.0
NdsssP,0.0,0.0
NsssssP,0.0,0.0
NsSH,0.0,0.0
NdS,0.0,0.0
NssS,6.825596354564922e-06,1.4459381314502195e-07
NaaS,-4.025342740898719e-06,2.6152224121700206e-06
NdssS,0.0,0.0
NddssS,0.0,0.0
NsCl,0.0,0.0
NsGeH3,0.0,0.0
NssGeH2,0.0,0.0
NsssGeH,0.0,0.0
NssssGe,0.0,0.0
NsAsH2,0.0,0.0
NssAsH,0.0,0.0
NsssAs,0.0,0.0
NsssdAs,0.0,0.0
NsssssAs,0.0,0.0
NsSeH,0.0,0.0
NdSe,0.0,0.0
NssSe,0.0,0.0
NaaSe,0.0,0.0
NdssSe,0.0,0.0
NddssSe,0.0,0.0
NsBr,0.0,0.0
NsSnH3,0.0,0.0
NssSnH2,0.0,0.0
NsssSnH,0.0,0.0
NssssSn,0.0,0.0
NsI,0.0,0.0
NsPbH3,0.0,0.0
NssPbH2,0.0,0.0
NsssPbH,0.0,0.0
NssssPb,0.0,0.0
SsLi,0.0,0.0
SssBe,0.0,0.0
SssssBe,0.0,0.0
SssBH,0.0,0.0
SsssB,0.0,0.0
SssssB,0.0,0.0
SsCH3,0.0002456871950913264,9.200398975815074e-05
SdCH2,0.0,0.0
SssCH2,0.0004905711623200415,0.00013361272686645209
StCH,9.546335013033146e-06,4.2562237801162945e-06
SdsCH,-1.3287612613765988e-06,1.8617080849109323e-05
SaaCH,0.00034430491937856853,9.190023157031027e-05
SsssCH,0.00027059789408937494,0.00017530319142250165
SddC,0.0,0.0
StsC,2.0154072437383873e-06,1.0464581496188627e-05
SdssC,0.00013583433620517615,8.286157506970575e-05
SaasC,0.00019173824526097505,0.0001264938307581946
SaaaC,3.17790308296706e-05,3.1357905284527075e-05
SssssC,3.4251829517206736e-05,3.212784026516586e-05
SsNH3,0.0,0.0
SsNH2,-4.258474070106821e-06,3.517398411712168e-06
SssNH2,0.0,0.0
SdNH,0.0,0.0
SssNH,0.000609093683568207,0.00018040738921367837
SaaNH,4.9805704006888886e-05,1.8664820753362812e-05
StN,3.6877243365429634e-06,8.093791005681975e-07
SsssNH,0.0,0.0
SdsN,-6.028234819643874e-06,3.1412939076997326e-06
SaaN,0.0001508352465283913,8.04830613946909e-05
SsssN,0.0002231508501880697,5.0682252084820744e-05
SddsN,0.0,0.0
SaasN,3.215018821303151e-05,3.9746941236328314e-05
SssssN,0.0,0.0
SsOH,0.0004282817471356726,0.00012552901805533382
SdO,0.0003227553852558129,0.00011113821228455168
SssO,5.815701539346741e-07,6.737529095204971e-05
SaaO,-8.014537028455671e-06,2.1604248584372544e-06
SsF,7.534209902502199e-05,5.418888113787954e-05
SsSiH3,0.0,0.0
SssSiH2,0.0,0.0
SsssSiH,0.0,0.0
SssssSi,0.0,0.0
SsPH2,0.0,0.0
SssPH,0.0,0.0
SsssP,0.0,0.0
SdsssP,0.0,0.0
SsssssP,0.0,0.0
SsSH,0.0,0.0
SdS,0.0,0.0
SssS,0.0,0.0
SaaS,2.3007530054686144e-06,1.4254955866522882e-06
SdssS,0.0,0.0
SddssS,-1.3265318156996387e-05,2.3730606446311935e-05
SsCl,7.256234450325749e-06,2.8823057642082325e-06
SsGeH3,0.0,0.0
SssGeH2,0.0,0.0
SsssGeH,0.0,0.0
SssssGe,0.0,0.0
SsAsH2,0.0,0.0
SssAsH,0.0,0.0
SsssAs,0.0,0.0
SsssdAs,0.0,0.0
SsssssAs,0.0,0.0
SsSeH,0.0,0.0
SdSe,0.0,0.0
SssSe,0.0,0.0
SaaSe,0.0,0.0
SdssSe,0.0,0.0
SddssSe,0.0,0.0
SsBr,-1.9290817102612933e-07,9.254718353958913e-07
SsSnH3,0.0,0.0
SssSnH2,0.0,0.0
SsssSnH,0.0,0.0
SssssSn,0.0,0.0
SsI,0.0,0.0
SsPbH3,0.0,0.0
SssPbH2,0.0,0.0
SsssPbH,0.0,0.0
SssssPb,0.0,0.0
MAXsLi,0.0,0.0
MAXssBe,0.0,0.0
MAXssssBe,0.0,0.0
MAXssBH,0.0,0.0
